                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3623,                0.53134,                0.92093,                0.47421,                0.72951,                0.68469,                0.66385,                0.30361,                 1.1565,                 0.9021,               0.000845,               0.000845,               0.000845
                     37,                0.36063,                0.51336,                0.92286,                0.52135,                0.73209,                0.69612,                0.67898,                0.27161,                 1.1007,                 0.8808,               0.000812,               0.000812,               0.000812
                     38,                0.35818,                0.51341,                0.92361,                0.43669,                 0.7623,                0.64858,                0.62957,                 0.2971,                 1.1158,                0.90151,               0.000779,               0.000779,               0.000779
                     39,                  0.347,                0.49105,                0.92221,                0.66041,                0.57377,                0.70495,                 0.6852,                0.28549,                 1.0599,                0.88448,               0.000746,               0.000746,               0.000746
                     40,                0.34778,                0.49849,                0.91508,                0.52306,                 0.6922,                0.70054,                0.67743,                0.29696,                 1.1589,                0.90896,               0.000713,               0.000713,               0.000713
                     41,                0.34649,                 0.4868,                0.91726,                0.72134,                0.53047,                 0.7174,                0.69913,                 0.2877,                 1.0863,                 0.8876,                0.00068,                0.00068,                0.00068
                     42,                0.34154,                0.49131,                0.91408,                 0.5248,                0.68033,                0.68458,                0.66369,                0.28373,                 1.1482,                0.89575,               0.000647,               0.000647,               0.000647
                     43,                0.33536,                0.47037,                 0.9084,                0.53614,                0.60656,                0.65607,                0.63608,                 0.2857,                 1.1807,                0.89558,               0.000614,               0.000614,               0.000614
                     44,                0.33733,                 0.4736,                0.91075,                0.58927,                0.63115,                0.69685,                 0.6801,                0.28404,                 1.1288,                0.88784,               0.000581,               0.000581,               0.000581
                     45,                0.33307,                0.46168,                0.91082,                0.47107,                0.72951,                0.66835,                0.64989,                0.27872,                 1.1491,                0.89912,               0.000548,               0.000548,               0.000548
                     46,                0.32439,                 0.4575,                0.90576,                0.48573,                 0.7459,                 0.6674,                0.65217,                0.28308,                 1.2023,                 0.9013,               0.000515,               0.000515,               0.000515
